"Story","Title","Result","Date","Stability","Duration (s)"
"User","Get - As admin I have be able to get detail user","SUCCESS","2023-04-26T00:00:13.448+07:00[Asia/Bangkok]","0.0","3.3"
"User","POST - As admin I have be able to to create new user","SUCCESS","2023-04-26T00:00:16.751+07:00[Asia/Bangkok]","0.0","0.52"
"User","PUT - As admin I have be able to to update existing user","SUCCESS","2023-04-26T00:00:17.273+07:00[Asia/Bangkok]","0.0","0.81"
"User","DELETE- As admin I have be able to to delete existing user","SUCCESS","2023-04-26T00:00:18.09+07:00[Asia/Bangkok]","0.0","0.52"
"User","Get - As admin i want to see user 3 to get detail user","SUCCESS","2023-04-26T00:00:18.61+07:00[Asia/Bangkok]","0.0","0.14"
